id@ id_Manga_Artist@ id_Publishing_House@ status@ End_year_of_publication@ Rating
1@ 73@ 61@ frozen@  @ 2.6924355365906627
2@ 9@ 91@ in process@  @ 1.9118071094677747
3@ 7@ 10@ in process@  @ 1.1457103493644094
4@ 30@ 96@ finished@ 1928@ 5.610029452603284
5@ 64@ 35@ finished@ 1998@ 1.2048650796623606
6@ 33@ 95@ in process@  @ 9.439187747837234
7@ 77@ 100@ frozen@  @ 0.0556115244041977
8@ 76@ 94@ finished@ 1925@ 2.0426520716206675
9@ 17@ 52@ frozen@  @ 5.996841542827004
10@ 82@ 18@ frozen@  @ 5.580757120397105
11@ 9@ 87@ frozen@  @ 7.929640172949249
12@ 4@ 88@ in process@  @ 3.875024408907739
13@ 79@ 89@ in process@  @ 3.1329553290469994
14@ 39@ 61@ frozen@  @ 0.005258655093313136
15@ 27@ 86@ finished@ 1987@ 6.352043681444125
16@ 80@ 5@ finished@ 1987@ 9.17098763885376
17@ 35@ 12@ in process@  @ 1.7746310910004892
18@ 54@ 21@ frozen@  @ 6.767031460439706
19@ 23@ 89@ frozen@  @ 6.670538638712971
20@ 15@ 83@ finished@ 1937@ 0.395269730514316
21@ 55@ 20@ in process@  @ 8.0970399642951
22@ 70@ 91@ in process@  @ 8.5600041123177
23@ 29@ 18@ finished@ 1965@ 2.9610117145070394
24@ 56@ 12@ in process@  @ 0.19337245183963625
25@ 78@ 72@ frozen@  @ 2.9251367095436267
26@ 96@ 2@ finished@ 1901@ 4.742343704251091
27@ 82@ 8@ finished@ 1928@ 1.1964767811575305
28@ 58@ 95@ in process@  @ 6.18897897065235
29@ 86@ 56@ in process@  @ 9.91737546422174
30@ 81@ 37@ frozen@  @ 1.6370604666914434
31@ 30@ 8@ in process@  @ 6.225860483231305
32@ 27@ 97@ finished@ 1905@ 9.760521043005076
33@ 52@ 62@ frozen@  @ 4.053660511224582
34@ 86@ 55@ frozen@  @ 4.441147403335409
35@ 65@ 82@ in process@  @ 1.520909649676132
36@ 80@ 48@ in process@  @ 5.595137027376812
37@ 33@ 75@ frozen@  @ 5.638078691608768
38@ 85@ 21@ in process@  @ 9.842859642483155
39@ 27@ 55@ finished@ 1928@ 1.74150140999913
40@ 53@ 93@ in process@  @ 4.460088771521994
41@ 23@ 25@ frozen@  @ 8.716490789477774
42@ 20@ 49@ finished@ 1960@ 8.410481012520272
43@ 17@ 74@ in process@  @ 1.5923118566335714
44@ 68@ 68@ frozen@  @ 6.185510237676505
45@ 81@ 5@ in process@  @ 2.2963943377511367
46@ 30@ 28@ finished@ 1912@ 6.045820387208351
47@ 12@ 90@ frozen@  @ 9.522727819042577
48@ 4@ 9@ frozen@  @ 9.839255257908471
49@ 50@ 5@ frozen@  @ 6.1021329495227485
50@ 29@ 7@ in process@  @ 2.0785226734779414
51@ 87@ 64@ in process@  @ 1.757138426327064
52@ 84@ 42@ frozen@  @ 6.343329573494824
53@ 82@ 58@ frozen@  @ 5.279485254427268
54@ 51@ 44@ frozen@  @ 4.435286242617897
55@ 44@ 90@ frozen@  @ 6.579072895557348
56@ 89@ 85@ frozen@  @ 2.901580637766805
57@ 65@ 69@ frozen@  @ 2.5020938456410216
58@ 15@ 56@ finished@ 1993@ 9.825492305308291
59@ 91@ 20@ in process@  @ 7.396271521982868
60@ 30@ 93@ frozen@  @ 7.757284956931451
61@ 14@ 79@ finished@ 1944@ 8.629107610545999
62@ 37@ 8@ finished@ 2001@ 3.044206045682074
63@ 20@ 12@ in process@  @ 1.3730052979108387
64@ 12@ 72@ finished@ 1923@ 5.061965826866915
65@ 98@ 65@ finished@ 1934@ 0.30341031701416554
66@ 40@ 86@ finished@ 1987@ 3.35364918045727
67@ 80@ 79@ in process@  @ 8.73848022299869
68@ 23@ 43@ frozen@  @ 3.632521774499027
69@ 57@ 29@ finished@ 1992@ 7.386454215600581
70@ 35@ 53@ finished@ 1900@ 1.5455358323099566
71@ 23@ 84@ finished@ 1994@ 1.0451926628147579
72@ 31@ 87@ frozen@  @ 1.5083805705138142
73@ 58@ 50@ in process@  @ 5.37389031831725
74@ 15@ 83@ finished@ 1935@ 8.534937791981411
75@ 90@ 62@ finished@ 1904@ 3.652411734222966
76@ 2@ 61@ frozen@  @ 4.262383171941128
77@ 15@ 60@ finished@ 1949@ 9.477970686869563
78@ 56@ 28@ frozen@  @ 7.014641930623547
79@ 62@ 77@ frozen@  @ 9.905034664249365
80@ 98@ 39@ frozen@  @ 9.872223429387603
81@ 58@ 54@ finished@ 1905@ 0.24981492062582822
82@ 10@ 76@ finished@ 1936@ 5.787561280181825
83@ 8@ 8@ frozen@  @ 3.1515497573097653
84@ 4@ 75@ frozen@  @ 0.25523757028497185
85@ 16@ 51@ frozen@  @ 9.043981905902582
86@ 80@ 35@ finished@ 1990@ 7.972265135298786
87@ 48@ 48@ frozen@  @ 0.2787716040805188
88@ 77@ 35@ in process@  @ 9.182829494389678
89@ 36@ 26@ finished@ 1927@ 0.4704162173142179
90@ 60@ 96@ finished@ 1903@ 2.170435775720546
91@ 59@ 2@ finished@ 1910@ 0.4566450301752101
92@ 71@ 21@ in process@  @ 1.5937946011966353
93@ 71@ 56@ finished@ 1912@ 1.3249799490107939
94@ 61@ 43@ frozen@  @ 3.959069915439043
95@ 42@ 55@ frozen@  @ 2.9803082023177874
96@ 82@ 81@ finished@ 1992@ 4.124852878381065
97@ 27@ 96@ in process@  @ 6.3258254181665645
98@ 27@ 64@ frozen@  @ 0.7454155040011456
99@ 4@ 90@ frozen@  @ 4.740688561237024
100@ 93@ 36@ in process@  @ 1.7308955246565205
