id@ id_Manga_Artist@ id_Publishing_House@ status@ End_year_of_publication@ Rating
1@ 59@ 62@ finished@ 1937@ 4.088261155895943
2@ 17@ 93@ frozen@  @ 9.604982416488724
3@ 96@ 20@ in process@  @ 6.025836862331719
4@ 100@ 74@ frozen@  @ 2.9677484414195665
5@ 4@ 6@ in process@  @ 1.0597275091922864
6@ 78@ 83@ in process@  @ 0.35008315554474034
7@ 35@ 89@ finished@ 1980@ 5.5450023325591244
8@ 86@ 6@ finished@ 1985@ 7.4314653833725455
9@ 67@ 40@ finished@ 1942@ 0.8640648110891014
10@ 40@ 44@ frozen@  @ 4.807970998246647
11@ 92@ 86@ finished@ 1903@ 3.11837236261743
12@ 56@ 45@ frozen@  @ 8.92375098036892
13@ 32@ 93@ finished@ 1940@ 1.5333971909602295
14@ 62@ 92@ finished@ 1993@ 6.49937367986829
15@ 74@ 64@ frozen@  @ 6.228579282159079
16@ 16@ 32@ in process@  @ 6.851703595410515
17@ 91@ 31@ finished@ 1948@ 2.1986344515737324
18@ 97@ 17@ frozen@  @ 9.819417927420524
19@ 61@ 64@ frozen@  @ 6.029401177676555
20@ 60@ 33@ frozen@  @ 8.414264649667428
21@ 89@ 89@ in process@  @ 7.990801981043138
22@ 2@ 67@ in process@  @ 5.908546142309522
23@ 15@ 92@ finished@ 1974@ 9.937132672472357
24@ 34@ 82@ frozen@  @ 3.8896211727141528
25@ 63@ 99@ in process@  @ 3.6282270188547616
26@ 29@ 46@ in process@  @ 5.912403914697901
27@ 71@ 4@ finished@ 1997@ 6.627843848632007
28@ 86@ 60@ in process@  @ 7.463217755504347
29@ 25@ 10@ frozen@  @ 5.771514355180756
30@ 39@ 83@ finished@ 1993@ 6.305989596494953
31@ 23@ 72@ finished@ 2004@ 0.7433053515288313
32@ 15@ 2@ frozen@  @ 6.453033004576164
33@ 31@ 54@ frozen@  @ 5.090741976555658
34@ 72@ 31@ finished@ 1924@ 9.345465813546845
35@ 17@ 47@ frozen@  @ 8.669114248816776
36@ 64@ 86@ in process@  @ 9.40833523938323
37@ 18@ 87@ finished@ 1942@ 3.998556887980115
38@ 79@ 26@ finished@ 1999@ 3.5041104595079107
39@ 77@ 100@ frozen@  @ 5.437749581057483
40@ 53@ 51@ frozen@  @ 7.77787784366404
41@ 94@ 22@ in process@  @ 0.22822573282329506
42@ 54@ 53@ frozen@  @ 1.0592785428390306
43@ 42@ 46@ in process@  @ 8.882912964576805
44@ 94@ 86@ in process@  @ 0.44013523569101043
45@ 15@ 70@ frozen@  @ 7.383797594276942
46@ 11@ 90@ frozen@  @ 0.046098643890530866
47@ 34@ 52@ frozen@  @ 4.351763833701948
48@ 21@ 45@ frozen@  @ 2.275187834379808
49@ 18@ 56@ frozen@  @ 5.743102160175263
50@ 44@ 33@ frozen@  @ 2.3401716321369017
51@ 39@ 69@ in process@  @ 3.1821473781588425
52@ 2@ 56@ frozen@  @ 4.600087251915223
53@ 52@ 2@ frozen@  @ 5.99468505246847
54@ 83@ 3@ in process@  @ 8.78733224072027
55@ 89@ 69@ in process@  @ 0.4708873013720083
56@ 34@ 10@ finished@ 1935@ 7.377607363247708
57@ 40@ 20@ in process@  @ 8.7140342827077
58@ 28@ 42@ frozen@  @ 1.062029471894157
59@ 81@ 13@ in process@  @ 3.0926422821571267
60@ 36@ 23@ frozen@  @ 7.768748781785561
61@ 80@ 41@ in process@  @ 8.81301232240132
62@ 29@ 84@ frozen@  @ 0.22189865211240556
63@ 94@ 98@ finished@ 2005@ 4.996043892036589
64@ 90@ 94@ finished@ 1905@ 3.2082308456338513
65@ 16@ 70@ finished@ 2004@ 4.188739163129932
66@ 93@ 25@ finished@ 1917@ 6.312966294613268
67@ 5@ 3@ in process@  @ 5.250771844876285
68@ 24@ 57@ frozen@  @ 5.798214179121427
69@ 52@ 4@ frozen@  @ 7.503441919303462
70@ 12@ 95@ in process@  @ 6.48760002951796
71@ 24@ 63@ frozen@  @ 0.012377192043644403
72@ 93@ 97@ finished@ 1966@ 1.5176411248808885
73@ 82@ 54@ in process@  @ 7.375000899602407
74@ 2@ 84@ frozen@  @ 5.464639389530412
75@ 75@ 29@ in process@  @ 9.904355433573915
76@ 43@ 10@ in process@  @ 8.140263976144057
77@ 72@ 24@ frozen@  @ 1.6571943415304446
78@ 100@ 43@ frozen@  @ 7.868772788134589
79@ 26@ 1@ frozen@  @ 9.314075439488176
80@ 95@ 43@ frozen@  @ 2.3407754289125693
81@ 38@ 52@ frozen@  @ 7.610754587192452
82@ 49@ 36@ in process@  @ 5.155406503831151
83@ 86@ 3@ finished@ 1939@ 2.900169556856611
84@ 24@ 97@ in process@  @ 8.922382420119988
85@ 63@ 3@ in process@  @ 0.5787540624536347
86@ 54@ 39@ frozen@  @ 2.1732261182212964
87@ 83@ 54@ frozen@  @ 1.546680053171604
88@ 97@ 7@ frozen@  @ 4.721346935900449
89@ 34@ 46@ frozen@  @ 1.7241562582422654
90@ 22@ 46@ frozen@  @ 0.8036876543307758
91@ 1@ 37@ finished@ 1996@ 6.634496039402996
92@ 49@ 78@ frozen@  @ 0.6326299278938174
93@ 33@ 21@ in process@  @ 0.7349675581317627
94@ 2@ 8@ finished@ 1986@ 5.661157727025323
95@ 9@ 61@ in process@  @ 7.543750770963396
96@ 88@ 4@ frozen@  @ 2.737001268411791
97@ 32@ 69@ finished@ 1943@ 0.5098161853167438
98@ 1@ 73@ finished@ 1964@ 1.9450898540818262
99@ 52@ 72@ finished@ 1906@ 8.48302019662276
100@ 30@ 26@ in process@  @ 1.3322686527000194
