id@ id_Manga_Artist@ id_Publishing_House@ status@ End_year_of_publication@ Rating
1@ 51@ 20@ finished@ 1994@ 1.3742821293375018
2@ 100@ 65@ in process@  @ 4.5462515849459395
3@ 84@ 9@ in process@  @ 2.246943086929729
4@ 39@ 16@ finished@ 1930@ 9.467934814931168
5@ 85@ 9@ frozen@  @ 9.939151859181438
6@ 71@ 42@ finished@ 1948@ 0.3812548434684193
7@ 87@ 32@ finished@ 1950@ 9.264472370071443
8@ 2@ 49@ frozen@  @ 8.741074143072714
9@ 30@ 17@ finished@ 1995@ 9.648676756186086
10@ 10@ 33@ frozen@  @ 8.882025429447552
11@ 15@ 28@ frozen@  @ 4.6833540274175425
12@ 32@ 44@ frozen@  @ 1.7895645783481662
13@ 91@ 81@ frozen@  @ 1.702215556944292
14@ 50@ 55@ in process@  @ 6.78908522499837
15@ 52@ 28@ finished@ 1985@ 7.667342285844072
16@ 36@ 45@ finished@ 1928@ 2.6398489450741582
17@ 62@ 55@ in process@  @ 0.15170199792000738
18@ 52@ 72@ finished@ 1950@ 6.130282443898482
19@ 77@ 89@ frozen@  @ 7.0472000981723575
20@ 59@ 47@ finished@ 1996@ 5.352219974129355
21@ 87@ 82@ in process@  @ 9.96918404768216
22@ 65@ 22@ in process@  @ 4.281313068502527
23@ 51@ 91@ finished@ 1915@ 3.1945684378104144
24@ 12@ 66@ in process@  @ 0.03614867085839912
25@ 41@ 93@ finished@ 1965@ 2.399420630329794
26@ 97@ 22@ finished@ 1928@ 6.204631285057101
27@ 57@ 28@ in process@  @ 4.437867216570095
28@ 38@ 41@ in process@  @ 3.8029317287152766
29@ 65@ 97@ in process@  @ 8.195541214797231
30@ 83@ 97@ finished@ 1924@ 4.19939274564641
31@ 15@ 65@ frozen@  @ 3.2399236489658048
32@ 39@ 24@ finished@ 1940@ 4.766612866558776
33@ 80@ 83@ finished@ 1980@ 2.842413044109431
34@ 60@ 79@ finished@ 1943@ 4.90682279052523
35@ 12@ 15@ finished@ 1919@ 2.457849015050253
36@ 93@ 56@ finished@ 1994@ 1.8481175116002324
37@ 25@ 45@ finished@ 1985@ 3.2539116782069675
38@ 51@ 40@ finished@ 1911@ 3.81064705451264
39@ 1@ 82@ frozen@  @ 8.68479037100202
40@ 100@ 78@ finished@ 1919@ 6.763530310451057
41@ 33@ 61@ frozen@  @ 1.7194151496951349
42@ 75@ 42@ frozen@  @ 2.0405045018163923
43@ 71@ 89@ frozen@  @ 7.184059142001006
44@ 11@ 42@ finished@ 1940@ 0.28473230061935473
45@ 98@ 41@ frozen@  @ 5.095359006062071
46@ 12@ 50@ finished@ 1913@ 5.503206014463427
47@ 41@ 35@ finished@ 1916@ 2.5355860613146843
48@ 72@ 1@ frozen@  @ 7.544761609459996
49@ 90@ 62@ in process@  @ 8.023789391309673
50@ 48@ 40@ finished@ 1919@ 8.074576500815738
51@ 65@ 48@ in process@  @ 4.875472353046785
52@ 37@ 77@ in process@  @ 0.566221856643635
53@ 16@ 91@ finished@ 1902@ 8.48063016349492
54@ 1@ 56@ frozen@  @ 2.019247982696699
55@ 32@ 91@ frozen@  @ 3.9230270073535367
56@ 58@ 40@ finished@ 1962@ 3.27184481968409
57@ 62@ 19@ finished@ 1937@ 8.761680583443779
58@ 61@ 99@ in process@  @ 0.22477205469390138
59@ 88@ 30@ finished@ 1940@ 3.2372007339659623
60@ 78@ 14@ frozen@  @ 7.94139963212043
61@ 48@ 55@ in process@  @ 1.6505168954919347
62@ 92@ 19@ in process@  @ 2.349728765636716
63@ 52@ 27@ frozen@  @ 0.5705157200273825
64@ 24@ 59@ in process@  @ 6.7321073284209
65@ 46@ 94@ in process@  @ 3.109327634948733
66@ 86@ 59@ frozen@  @ 3.140770934211079
67@ 50@ 56@ frozen@  @ 6.631271965612173
68@ 92@ 4@ in process@  @ 3.0781861833668933
69@ 75@ 9@ in process@  @ 0.5476683598313603
70@ 59@ 93@ in process@  @ 7.420604163684633
71@ 21@ 37@ finished@ 1901@ 7.8395628726892985
72@ 4@ 39@ in process@  @ 6.993301860497882
73@ 65@ 90@ frozen@  @ 0.28140201827510203
74@ 44@ 96@ frozen@  @ 0.3894835600850388
75@ 8@ 4@ in process@  @ 0.9531607905395689
76@ 68@ 25@ frozen@  @ 1.6567935022887026
77@ 22@ 26@ in process@  @ 3.6022329508311666
78@ 28@ 49@ in process@  @ 4.088477313159408
79@ 87@ 77@ frozen@  @ 2.186445117804686
80@ 30@ 75@ finished@ 1906@ 7.21249831953457
81@ 82@ 36@ frozen@  @ 8.91343584084231
82@ 78@ 71@ in process@  @ 3.9982309140640773
83@ 66@ 17@ in process@  @ 4.167374659821994
84@ 15@ 28@ finished@ 1983@ 8.028606316823488
85@ 12@ 56@ finished@ 1992@ 4.123608787198529
86@ 59@ 76@ finished@ 1916@ 0.13683938560114184
87@ 34@ 46@ finished@ 1999@ 7.510044296718478
88@ 40@ 59@ frozen@  @ 5.388552317557998
89@ 3@ 26@ frozen@  @ 1.3955523699358718
90@ 36@ 79@ finished@ 1988@ 8.995100859996695
91@ 21@ 69@ frozen@  @ 9.762695450673993
92@ 82@ 92@ finished@ 1938@ 2.0076092185193595
93@ 78@ 19@ in process@  @ 9.280207511544699
94@ 82@ 56@ in process@  @ 5.380480513393003
95@ 52@ 6@ frozen@  @ 0.0221697779419483
96@ 30@ 10@ in process@  @ 6.798523250988723
97@ 15@ 45@ finished@ 1962@ 1.5685958088373775
98@ 57@ 21@ frozen@  @ 1.1116886403588855
99@ 50@ 42@ in process@  @ 3.7643230938684025
100@ 79@ 93@ frozen@  @ 8.917392057198029
