id@ Name@ Creation_year@ Adress
1@ rnrlk@ 1930@ Kyoto, Street sha, 12
2@ ahtqlue@ 1900@ Sakura, Street twwzzcsv, 15
3@ lbmn@ 1990@ Kyoto, Street mcqz, 23
4@ sqmpslz@ 1932@ Nagoya, Street ths, 24
5@ bzddt@ 1948@ Nagoya, Street vmhwr, 11
6@ tdcsjppzj@ 1951@ Hiroshima, Street ameskaghzx, 9
7@ glidszk@ 1934@ Osaka, Street hez, 27
8@ riugcmmp@ 2005@ Hiroshima, Street phmvcgxsdd, 17
9@ zrzgie@ 1929@ Sakura, Street xota, 1
10@ vprnw@ 1986@ Osaka, Street sjfw, 8
11@ ntthtyb@ 1954@ Nagoya, Street ghbitnva, 26
12@ mdaww@ 1923@ Tokyo, Street ypg, 25
13@ quznppkr@ 1952@ Hiroshima, Street nnqyhhxk, 10
14@ jym@ 1908@ Tokyo, Street kolu, 4
15@ nrauy@ 1966@ Kyoto, Street hmcfs, 8
16@ fdih@ 1926@ Tokyo, Street bjqyqiwlmp, 23
17@ qpuopjl@ 1952@ Hiroshima, Street vhzanhvd, 14
18@ qoc@ 1917@ Tokyo, Street ufedyjh, 8
19@ islt@ 1938@ Tokyo, Street kjgo, 9
20@ lxbkk@ 1997@ Kyoto, Street tpuu, 4
21@ pbzupdggfb@ 1925@ Tokyo, Street givwaiekv, 20
22@ fzinpwaxcv@ 1993@ Hiroshima, Street zxbylt, 15
23@ sxrs@ 1997@ Hiroshima, Street vhhipsfwv, 4
24@ eqzjd@ 1935@ Hiroshima, Street smgcr, 5
25@ kfai@ 1927@ Sakura, Street hkntpnv, 21
26@ jdgsbwg@ 1957@ Kyoto, Street eotktr, 26
27@ pmsrwl@ 1900@ Osaka, Street ywmn, 26
28@ inlo@ 1928@ Sakura, Street fwvmqi, 21
29@ exjidcvibh@ 1910@ Kyoto, Street mnsi, 25
30@ xeta@ 1903@ Nagoya, Street rlnykwqz, 7
31@ pfsuxbv@ 1998@ Tokyo, Street ervynnsb, 9
32@ zytr@ 1987@ Sakura, Street oexka, 23
33@ dvyv@ 1974@ Osaka, Street kmkfbawh, 17
34@ nxkwzot@ 1916@ Hiroshima, Street gilnlxq, 5
35@ bnwgwb@ 1959@ Osaka, Street zuqks, 17
36@ ttmdc@ 1912@ Nagoya, Street wfupwpff, 7
37@ bpx@ 1949@ Sakura, Street zmrxddpho, 9
