id@ id_Manga_Artist@ id_Publishing_House@ status@ End_year_of_publication@ Rating
1@ 51@ 17@ in process@  @ 6.594287008568625
2@ 51@ 50@ in process@  @ 8.094792551169919
3@ 2@ 11@ finished@ 1987@ 9.37457135792508
4@ 19@ 88@ frozen@  @ 2.441954612650995
5@ 95@ 26@ finished@ 1944@ 1.7846059398434544
6@ 79@ 17@ frozen@  @ 7.681546943965591
7@ 91@ 61@ frozen@  @ 2.617168745259356
8@ 14@ 94@ frozen@  @ 5.767715854759333
9@ 83@ 18@ finished@ 1966@ 2.070031216989854
10@ 12@ 54@ in process@  @ 8.336321868137492
11@ 98@ 42@ frozen@  @ 4.5108124928213025
12@ 66@ 63@ frozen@  @ 6.795012482495533
13@ 57@ 24@ finished@ 1935@ 5.150098675813707
14@ 8@ 83@ frozen@  @ 6.097667181106498
15@ 34@ 77@ in process@  @ 7.603263649243851
16@ 46@ 21@ frozen@  @ 9.310105086776598
17@ 54@ 99@ frozen@  @ 2.518404942922794
18@ 74@ 66@ in process@  @ 5.35932459574775
19@ 94@ 5@ finished@ 1935@ 7.087040338529268
20@ 38@ 53@ in process@  @ 0.28394383209991103
21@ 39@ 46@ finished@ 1913@ 1.7739991782683817
22@ 96@ 34@ finished@ 1991@ 2.2874397858017073
23@ 11@ 64@ finished@ 1922@ 2.408481724821513
24@ 35@ 2@ in process@  @ 8.097662847833274
25@ 1@ 60@ frozen@  @ 3.7792454299923284
26@ 94@ 17@ finished@ 1905@ 1.345479717375101
27@ 73@ 8@ in process@  @ 3.412276172995897
28@ 64@ 15@ in process@  @ 1.17847623980465
29@ 52@ 38@ finished@ 1920@ 9.703667653676305
30@ 87@ 57@ finished@ 1908@ 8.59412174513062
31@ 69@ 89@ frozen@  @ 1.589655803846518
32@ 14@ 20@ frozen@  @ 0.9815740997372724
33@ 82@ 91@ finished@ 1931@ 3.789614903582047
34@ 30@ 2@ frozen@  @ 4.180872717668548
35@ 33@ 43@ in process@  @ 4.410992663848395
36@ 81@ 27@ in process@  @ 2.9855023593453955
37@ 22@ 4@ in process@  @ 4.048073330344131
38@ 72@ 73@ frozen@  @ 8.686058974292383
39@ 99@ 84@ frozen@  @ 4.2257495313785505
40@ 25@ 57@ finished@ 1975@ 7.883040843344591
41@ 16@ 60@ frozen@  @ 2.291297803641339
42@ 15@ 12@ in process@  @ 7.3856403305550336
43@ 28@ 57@ frozen@  @ 8.394129799405263
44@ 51@ 73@ in process@  @ 2.842732170245097
45@ 34@ 19@ frozen@  @ 0.8992637296142225
46@ 91@ 55@ frozen@  @ 9.368443900947796
47@ 69@ 94@ finished@ 1926@ 6.846013623319861
48@ 74@ 78@ frozen@  @ 3.5482879842576653
49@ 48@ 16@ finished@ 1987@ 8.403104143217078
50@ 82@ 56@ finished@ 1944@ 6.038965805173548
51@ 5@ 93@ finished@ 2004@ 2.0992410352881286
52@ 80@ 2@ in process@  @ 6.411807334518546
53@ 47@ 2@ frozen@  @ 0.7085030808168002
54@ 80@ 42@ finished@ 1910@ 6.468967950972732
55@ 7@ 46@ in process@  @ 7.841921713685753
56@ 47@ 51@ in process@  @ 9.643759484992476
57@ 48@ 47@ frozen@  @ 4.911368549656966
58@ 29@ 24@ finished@ 1901@ 7.211797434945801
59@ 84@ 52@ frozen@  @ 6.735951814767928
60@ 50@ 47@ in process@  @ 0.6114683118728104
61@ 39@ 78@ in process@  @ 0.6289347885242114
62@ 75@ 49@ finished@ 1919@ 5.456112889437273
63@ 81@ 36@ in process@  @ 9.74095899195896
64@ 51@ 93@ frozen@  @ 3.1144957609279746
65@ 52@ 5@ finished@ 1944@ 2.920752862326046
66@ 2@ 66@ in process@  @ 2.150042216217487
67@ 9@ 15@ in process@  @ 8.460917512026091
68@ 91@ 67@ in process@  @ 7.036974902382438
69@ 46@ 76@ finished@ 1982@ 0.885385960940811
70@ 96@ 16@ finished@ 1955@ 5.8972781610648575
71@ 78@ 21@ finished@ 2004@ 1.1367839249295608
72@ 11@ 68@ finished@ 1949@ 5.83178863563865
73@ 63@ 16@ in process@  @ 0.48326488251263955
74@ 54@ 16@ frozen@  @ 8.111798982468606
75@ 78@ 24@ in process@  @ 7.449882320211931
76@ 1@ 39@ finished@ 1915@ 4.931155570470409
77@ 58@ 60@ finished@ 1923@ 2.3087177832547203
78@ 86@ 26@ frozen@  @ 4.804218555111051
79@ 74@ 83@ finished@ 1934@ 6.969919702772621
80@ 59@ 7@ finished@ 1965@ 6.9548740143616605
81@ 21@ 44@ finished@ 1938@ 5.051588391650032
82@ 75@ 66@ frozen@  @ 8.031284000109872
83@ 28@ 18@ frozen@  @ 1.1940264824297442
84@ 9@ 30@ in process@  @ 0.006587060671392475
85@ 17@ 94@ finished@ 1939@ 2.9995287733380414
86@ 1@ 79@ in process@  @ 4.771797286394667
87@ 17@ 37@ in process@  @ 5.990209798202052
88@ 53@ 1@ in process@  @ 7.84419378171183
89@ 83@ 32@ in process@  @ 6.860827232131177
90@ 3@ 43@ finished@ 1989@ 6.958598287234499
91@ 92@ 60@ in process@  @ 3.13157264105997
92@ 89@ 10@ in process@  @ 0.5391585843503954
93@ 96@ 53@ in process@  @ 9.270607432033927
94@ 43@ 50@ in process@  @ 1.6493146284168658
95@ 23@ 69@ in process@  @ 1.0794039997983962
96@ 3@ 1@ frozen@  @ 6.611623875546856
97@ 95@ 71@ frozen@  @ 3.7080759654479922
98@ 65@ 34@ in process@  @ 1.8320850684302437
99@ 76@ 99@ frozen@  @ 3.855348504110908
100@ 16@ 34@ finished@ 1974@ 7.748444989365549
