id@ Name@ Creation_year@ Adress
1@ ctl@ 1985@ Sakura, Street ufxlw, 21
2@ pklfgd@ 1918@ Nagoya, Street zzoftkqdt, 24
3@ jxhjmfkp@ 1987@ Tokyo, Street wazez, 21
4@ biujrn@ 1966@ Osaka, Street slhkopa, 23
5@ tctt@ 1913@ Sakura, Street lhzqy, 27
6@ oilxcrqd@ 1973@ Kyoto, Street ovk, 13
7@ hbw@ 1990@ Sakura, Street frwtpale, 12
8@ yxc@ 1932@ Hiroshima, Street kttxchsrz, 4
9@ fzhcea@ 1978@ Osaka, Street bynw, 8
10@ fhw@ 1944@ Sakura, Street abkp, 19
11@ epk@ 1912@ Nagoya, Street wcaita, 8
12@ aoawclm@ 1996@ Kyoto, Street zjmdpuf, 11
13@ wbddinb@ 1987@ Kyoto, Street aqpsdzzny, 27
14@ mmgjwsp@ 1987@ Sakura, Street alpkt, 4
15@ jhq@ 1954@ Sakura, Street yrbq, 11
16@ oeoierya@ 1951@ Osaka, Street hqyqw, 19
17@ zftcq@ 1920@ Nagoya, Street nxvy, 23
18@ dvdpsncy@ 1980@ Osaka, Street xjmtfnigvi, 6
19@ wpnhfuq@ 1993@ Nagoya, Street tlfowroji, 6
20@ ignmgdri@ 1914@ Nagoya, Street afyfsu, 26
21@ tcbrglfos@ 1980@ Kyoto, Street geclat, 10
22@ qxjuyqd@ 1914@ Osaka, Street cymavoyq, 28
23@ bfges@ 1952@ Sakura, Street ztymq, 3
24@ ocy@ 1937@ Hiroshima, Street iwa, 15
25@ osvny@ 1927@ Sakura, Street ythvagq, 20
26@ iawnvngm@ 2005@ Kyoto, Street ynvyvtsk, 18
27@ odoz@ 1939@ Nagoya, Street wzjhcjnet, 17
28@ bfjyqqz@ 1927@ Tokyo, Street teaguxs, 21
29@ zhpmoqmse@ 1947@ Sakura, Street dtj, 19
30@ rxzxhfix@ 1942@ Hiroshima, Street rdmdcsj, 1
31@ bbpyhcdpiy@ 1979@ Sakura, Street eoy, 20
32@ seei@ 1964@ Hiroshima, Street nwxpqdkpil, 24
33@ tyf@ 1900@ Hiroshima, Street tvlmz, 27
34@ ufrqgmrm@ 1983@ Tokyo, Street bfgpsdgqo, 14
35@ msqewwfsbm@ 1932@ Osaka, Street uvrtoam, 16
36@ ophdnlohq@ 1945@ Nagoya, Street itfdtuxcbd, 6
37@ qqz@ 1945@ Osaka, Street xklgastpkx, 13
38@ refaotgat@ 1908@ Hiroshima, Street lwa, 3
39@ stjwtsf@ 1900@ Hiroshima, Street tgyftzkhr, 8
40@ sya@ 1920@ Hiroshima, Street gzs, 8
41@ njxmimvyv@ 1996@ Tokyo, Street yexspjplx, 22
42@ amrqadhyue@ 1986@ Sakura, Street chvkxwqeje, 26
43@ wwwbgzwuy@ 1922@ Kyoto, Street tuoytftx, 25
44@ kcikwpsrur@ 1991@ Osaka, Street qramvktbeb, 3
45@ rfuhxb@ 1917@ Kyoto, Street rxv, 19
46@ nug@ 1973@ Hiroshima, Street lqnvntfoa, 28
47@ vnaafiughe@ 1928@ Tokyo, Street hnvlnzazfp, 23
48@ rsmcuw@ 1902@ Sakura, Street acekkrhu, 27
49@ duhj@ 1902@ Tokyo, Street djc, 22
50@ jylz@ 1984@ Nagoya, Street gsnizmy, 19
51@ girvns@ 1953@ Nagoya, Street ewjjcr, 26
52@ bgutp@ 1922@ Sakura, Street ioktevrr, 16
53@ rcrlduohgq@ 1954@ Hiroshima, Street cjwbqhjc, 22
54@ vkahvy@ 1937@ Sakura, Street imnwuu, 15
55@ nhi@ 2004@ Osaka, Street exzr, 3
56@ gmzcfx@ 1965@ Nagoya, Street tnzlngbhxb, 5
57@ hiqmekrmd@ 1921@ Tokyo, Street gxsbdtfy, 25
58@ jzsyev@ 1994@ Kyoto, Street sngo, 3
59@ bkp@ 1993@ Kyoto, Street gukgp, 18
60@ tmvekwie@ 1935@ Osaka, Street aehgm, 22
61@ vcbeipsra@ 1990@ Kyoto, Street rkob, 22
62@ erkiwemgb@ 1956@ Kyoto, Street qwih, 22
63@ wpvrhjeqe@ 1955@ Kyoto, Street flkffy, 21
64@ mboqiwygrs@ 1970@ Kyoto, Street llanwvwg, 13
65@ fujinrif@ 2004@ Kyoto, Street bctxduwcae, 23
66@ vhdxv@ 1925@ Nagoya, Street joot, 26
67@ euftra@ 2000@ Sakura, Street wlg, 17
68@ tafdyudy@ 1921@ Osaka, Street dkhp, 6
69@ lhh@ 1957@ Nagoya, Street iavnjbr, 24
70@ izuucwh@ 1967@ Kyoto, Street uaeiazdpn, 20
71@ ydkclv@ 1934@ Tokyo, Street ywjufud, 12
72@ sppgzvg@ 1950@ Tokyo, Street zucrqofwxl, 27
73@ kxvnchjbf@ 1924@ Kyoto, Street lhsstz, 6
74@ qew@ 1945@ Hiroshima, Street mvcemunwco, 18
75@ dobcgnb@ 1994@ Osaka, Street hbmfmapqrv, 1
76@ olwxrfyoh@ 1904@ Sakura, Street zcransg, 17
77@ tzrbg@ 1967@ Kyoto, Street iarmmphgkd, 20
78@ kpbizod@ 1967@ Osaka, Street jlntbelkr, 26
79@ mslws@ 1905@ Hiroshima, Street rdluh, 26
80@ icxwzx@ 1910@ Nagoya, Street lkdvpjqcec, 18
81@ qkiwory@ 1950@ Tokyo, Street lel, 6
82@ fystwf@ 1926@ Kyoto, Street zhl, 28
83@ bcsvomefa@ 1989@ Kyoto, Street ssn, 25
84@ wxdwd@ 1950@ Hiroshima, Street mcvhu, 19
85@ qwmwf@ 1951@ Tokyo, Street vky, 26
86@ jfj@ 1991@ Hiroshima, Street vvk, 4
